produto,Inverno,Primavera,Verao,Outono,media_anual_%
Sardinha s/ pele e espinha em Azeite Virgem,19.24,19.31,16.31,19.17,18.35
Polvo em Azeite Virgem Extra,9.14,9.29,7.76,8.92,8.7
Bacalhau em Azeite,8.7,6.24,4.56,7.53,6.52
Camarao a Scampi (Gambas),4.88,3.87,4.36,4.44,4.35
Robalo em Azeite Virgem Extra,3.62,3.76,3.08,3.61,3.49
Sardinhas Fumadas Picantes,3.09,3.12,3.27,3.12,3.16
Sardinhas com Pimentos,3.03,3.18,3.16,2.99,3.1
Sardinha c/ Azeitonas Recheadas | Lisboa,2.15,3.03,3.6,2.82,2.99
Salmao Fumado em Azeite,2.83,2.95,2.44,2.84,2.75
Sardinhas em Molho de Tomate,2.32,2.41,2.05,2.38,2.28
Atum em Azeite,2.27,2.32,1.93,2.29,2.18
Sardinhas com Limao,2.25,2.26,1.92,2.29,2.16
Sardinhas com Mostarda,2.09,2.13,1.76,2.0,1.98
Anchovas,2.71,1.55,1.05,1.56,1.61
Mexilhoes Fumados em Azeite,1.56,1.52,1.32,1.5,1.46
