ano,mes,product_id,produto,categoria,unidades,receita
2021,1,1001,Sardinha 1917 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1002,Sardinha 1918 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1003,Sardinha 1919 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1004,Sardinha 1920 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1005,Sardinha 1921 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1006,Sardinha 1922 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1007,Sardinha 1923 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1008,Sardinha 1924 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1009,Sardinha 1925 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1010,Sardinha 1926 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1012,Sardinha 1928 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1014,Sardinha 1930 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1015,Sardinha 1931 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1016,Sardinha 1932 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1017,Sardinha 1933 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1018,Sardinha 1934 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1019,Sardinha 1935 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1020,Sardinha 1936 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1021,Sardinha 1937 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1022,Sardinha 1938 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1023,Sardinha 1939 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1024,Sardinha 1940 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1025,Sardinha 1941 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1026,Sardinha 1942 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1027,Sardinha 1943 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1029,Sardinha 1945 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1031,Sardinha 1947 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1032,Sardinha 1948 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1033,Sardinha 1949 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1034,Sardinha 1950 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1035,Sardinha 1951 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1036,Sardinha 1952 (Timeless),Sardinhas Intemporais,16,144.0
2021,1,1037,Sardinha 1953 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1038,Sardinha 1954 (Timeless),Sardinhas Intemporais,13,117.0
2021,1,1039,Sardinha 1955 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1040,Sardinha 1956 (Timeless),Sardinhas Intemporais,12,108.0
2021,1,1041,Sardinha 1957 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1042,Sardinha 1958 (Timeless),Sardinhas Intemporais,13,117.0
2021,1,1043,Sardinha 1959 (Timeless),Sardinhas Intemporais,9,81.0
2021,1,1044,Sardinha 1960 (Timeless),Sardinhas Intemporais,12,108.0
2021,1,1045,Sardinha 1961 (Timeless),Sardinhas Intemporais,12,108.0
2021,1,1046,Sardinha 1962 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1047,Sardinha 1963 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1048,Sardinha 1964 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1049,Sardinha 1965 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1050,Sardinha 1966 (Timeless),Sardinhas Intemporais,10,90.0
2021,1,1051,Sardinha 1967 (Timeless),Sardinhas Intemporais,10,90.0
2021,1,1052,Sardinha 1968 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1053,Sardinha 1969 (Timeless),Sardinhas Intemporais,10,90.0
2021,1,1054,Sardinha 1970 (Timeless),Sardinhas Intemporais,14,126.0
2021,1,1055,Sardinha 1971 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1056,Sardinha 1972 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1057,Sardinha 1973 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1058,Sardinha 1974 (Timeless),Sardinhas Intemporais,9,81.0
2021,1,1059,Sardinha 1975 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1060,Sardinha 1976 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1061,Sardinha 1977 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1062,Sardinha 1978 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1063,Sardinha 1979 (Timeless),Sardinhas Intemporais,16,144.0
2021,1,1064,Sardinha 1980 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1065,Sardinha 1981 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1066,Sardinha 1982 (Timeless),Sardinhas Intemporais,13,117.0
2021,1,1067,Sardinha 1983 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1068,Sardinha 1984 (Timeless),Sardinhas Intemporais,11,99.0
2021,1,1069,Sardinha 1985 (Timeless),Sardinhas Intemporais,10,90.0
2021,1,1070,Sardinha 1986 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1071,Sardinha 1987 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1072,Sardinha 1988 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1073,Sardinha 1989 (Timeless),Sardinhas Intemporais,10,90.0
2021,1,1074,Sardinha 1990 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1075,Sardinha 1991 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1076,Sardinha 1992 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1077,Sardinha 1993 (Timeless),Sardinhas Intemporais,13,117.0
2021,1,1078,Sardinha 1994 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1079,Sardinha 1995 (Timeless),Sardinhas Intemporais,9,81.0
2021,1,1080,Sardinha 1996 (Timeless),Sardinhas Intemporais,10,90.0
2021,1,1081,Sardinha 1997 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1082,Sardinha 1998 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1083,Sardinha 1999 (Timeless),Sardinhas Intemporais,7,63.0
2021,1,1084,Sardinha 2000 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1085,Sardinha 2001 (Timeless),Sardinhas Intemporais,15,135.0
2021,1,1086,Sardinha 2002 (Timeless),Sardinhas Intemporais,14,126.0
2021,1,1087,Sardinha 2003 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1088,Sardinha 2004 (Timeless),Sardinhas Intemporais,9,81.0
2021,1,1089,Sardinha 2005 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1090,Sardinha 2006 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1091,Sardinha 2007 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1092,Sardinha 2008 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1093,Sardinha 2009 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1094,Sardinha 2010 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1095,Sardinha 2011 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1096,Sardinha 2012 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1097,Sardinha 2013 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1100,Sardinha 2016 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1101,Sardinha 2017 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1102,Sardinha 2018 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1103,Sardinha 2019 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1104,Sardinha 2020 (Timeless),Sardinhas Intemporais,12,108.0
2021,1,1105,Sardinha 2021 (Timeless),Sardinhas Intemporais,12,108.0
2021,1,1106,Sardinha 2022 (Timeless),Sardinhas Intemporais,14,126.0
2021,1,1107,Sardinha 2023 (Timeless),Sardinhas Intemporais,11,99.0
2021,1,1108,Sardinha 2024 (Timeless),Sardinhas Intemporais,13,117.0
2021,1,1109,Sardinha 2025 (Timeless),Sardinhas Intemporais,9,81.0
2021,1,1110,Sardinha 2026 (Timeless),Sardinhas Intemporais,8,72.0
2021,1,1111,Sardinha s/ pele e espinha em Azeite Virgem,Sardinhas,748,11220.0
2021,1,1112,Petinga,Sardinhas,10,79.0
2021,1,1113,Sardinhas com Pimentos,Sardinhas,180,1764.0
2021,1,1114,Sardinhas Fumadas Picantes,Sardinhas,191,1871.8
2021,1,1115,Sardinhas com Limao,Sardinhas,143,1401.4
2021,1,1116,Sardinhas em Molho de Tomate,Sardinhas,122,1195.6
2021,1,1117,Sardinhas com Mostarda,Sardinhas,103,1174.2
2021,1,1118,Sardinha com Ketchup,Sardinhas,13,130.0
2021,1,1119,Sardinha com Algas em Azeite Virgem Extra,Sardinhas,16,204.8
2021,1,1120,Millesime,Sardinhas,3,129.89999999999998
2021,1,1121,Lingote,Sardinhas,30,660.0
2021,1,1122,Sardinha ao Natural,Sardinhas,34,238.0
2021,1,1123,Anchovas,Sardinhas,172,1651.2
