ano,mes,semana_do_mes,product_id,produto,categoria,unidades,receita
2021,1,1,1003,Sardinha 1919 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1004,Sardinha 1920 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1009,Sardinha 1925 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1015,Sardinha 1931 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1019,Sardinha 1935 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1022,Sardinha 1938 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1023,Sardinha 1939 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1025,Sardinha 1941 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1026,Sardinha 1942 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1027,Sardinha 1943 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1031,Sardinha 1947 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1033,Sardinha 1949 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1034,Sardinha 1950 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1035,Sardinha 1951 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1036,Sardinha 1952 (Timeless),Sardinhas Intemporais,6,54.0
2021,1,1,1037,Sardinha 1953 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1038,Sardinha 1954 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1,1039,Sardinha 1955 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1040,Sardinha 1956 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1041,Sardinha 1957 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1042,Sardinha 1958 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1043,Sardinha 1959 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1044,Sardinha 1960 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1045,Sardinha 1961 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1046,Sardinha 1962 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1047,Sardinha 1963 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1,1050,Sardinha 1966 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1051,Sardinha 1967 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1052,Sardinha 1968 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1053,Sardinha 1969 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1054,Sardinha 1970 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1056,Sardinha 1972 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1057,Sardinha 1973 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1058,Sardinha 1974 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1059,Sardinha 1975 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1060,Sardinha 1976 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1061,Sardinha 1977 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1062,Sardinha 1978 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1063,Sardinha 1979 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1,1065,Sardinha 1981 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1066,Sardinha 1982 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1067,Sardinha 1983 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1068,Sardinha 1984 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1,1069,Sardinha 1985 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1070,Sardinha 1986 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1071,Sardinha 1987 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1072,Sardinha 1988 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1073,Sardinha 1989 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1074,Sardinha 1990 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1075,Sardinha 1991 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1077,Sardinha 1993 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1078,Sardinha 1994 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1080,Sardinha 1996 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1082,Sardinha 1998 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1084,Sardinha 2000 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1085,Sardinha 2001 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1086,Sardinha 2002 (Timeless),Sardinhas Intemporais,5,45.0
2021,1,1,1087,Sardinha 2003 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1088,Sardinha 2004 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1089,Sardinha 2005 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1090,Sardinha 2006 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1093,Sardinha 2009 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1096,Sardinha 2012 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1103,Sardinha 2019 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1104,Sardinha 2020 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1105,Sardinha 2021 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1,1106,Sardinha 2022 (Timeless),Sardinhas Intemporais,4,36.0
2021,1,1,1107,Sardinha 2023 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1108,Sardinha 2024 (Timeless),Sardinhas Intemporais,3,27.0
2021,1,1,1109,Sardinha 2025 (Timeless),Sardinhas Intemporais,1,9.0
2021,1,1,1110,Sardinha 2026 (Timeless),Sardinhas Intemporais,2,18.0
2021,1,1,1111,Sardinha s/ pele e espinha em Azeite Virgem,Sardinhas,173,2595.0
2021,1,1,1112,Petinga,Sardinhas,2,15.8
2021,1,1,1113,Sardinhas com Pimentos,Sardinhas,36,352.8
2021,1,1,1114,Sardinhas Fumadas Picantes,Sardinhas,54,529.2
2021,1,1,1115,Sardinhas com Limao,Sardinhas,31,303.8
2021,1,1,1116,Sardinhas em Molho de Tomate,Sardinhas,30,294.0
2021,1,1,1117,Sardinhas com Mostarda,Sardinhas,19,216.6
2021,1,1,1118,Sardinha com Ketchup,Sardinhas,1,10.0
2021,1,1,1119,Sardinha com Algas em Azeite Virgem Extra,Sardinhas,7,89.6
2021,1,1,1121,Lingote,Sardinhas,7,154.0
2021,1,1,1122,Sardinha ao Natural,Sardinhas,8,56.0
2021,1,1,1123,Anchovas,Sardinhas,36,345.6
2021,1,1,1124,Sardinha c/ Azeitonas Recheadas | Lisboa,Sardinha Azeitonas (Cidades),26,338.0
2021,1,1,1125,Sardinha c/ Azeitonas Recheadas | Porto,Sardinha Azeitonas (Cidades),5,65.0
2021,1,1,1126,Sardinha c/ Azeitonas Recheadas | Sintra,Sardinha Azeitonas (Cidades),1,13.0
2021,1,1,1127,Sardinha c/ Azeitonas Recheadas | Cascais,Sardinha Azeitonas (Cidades),2,26.0
2021,1,1,1128,Sardinha c/ Azeitonas Recheadas | Obidos,Sardinha Azeitonas (Cidades),1,13.0
2021,1,1,1129,Sardinha c/ Azeitonas Recheadas | Evora,Sardinha Azeitonas (Cidades),2,26.0
2021,1,1,1131,Sardinha c/ Azeitonas Recheadas | Aveiro,Sardinha Azeitonas (Cidades),1,13.0
2021,1,1,1132,Sardinha c/ Azeitonas Recheadas | Algarve,Sardinha Azeitonas (Cidades),1,13.0
2021,1,1,1133,Sardinha c/ Azeitonas Recheadas | Madeira,Sardinha Azeitonas (Cidades),1,13.0
2021,1,1,1134,Sardinha c/ Azeitonas Recheadas | Acores,Sardinha Azeitonas (Cidades),1,13.0
2021,1,1,1135,Carapau em Azeite Virgem Extra,Outros Peixes e Mariscos,6,36.0
2021,1,1,1136,Mexilhoes Fumados em Azeite,Outros Peixes e Mariscos,25,195.0
2021,1,1,1137,Atum em Azeite,Outros Peixes e Mariscos,32,284.8
2021,1,1,1138,Filetes com Mostarda,Outros Peixes e Mariscos,6,69.6
2021,1,1,1139,Filetes de Cavala em Azeite,Outros Peixes e Mariscos,20,186.0
2021,1,1,1140,Truta Fumada em Azeite,Outros Peixes e Mariscos,13,126.1
2021,1,1,1141,Lulas em Molho Guisado,Outros Peixes e Mariscos,7,68.6
2021,1,1,1142,Agulha Picante em Escabeche,Outros Peixes e Mariscos,3,31.8
2021,1,1,1143,Agulha Picante em Azeite Virgem Extra,Outros Peixes e Mariscos,8,81.6
2021,1,1,1144,Buzios ao Natural,Outros Peixes e Mariscos,8,82.4
2021,1,1,1145,Bacalhau em Azeite,Outros Peixes e Mariscos,46,575.0
2021,1,1,1146,Ovas de Bacalhau Fumadas com Legumes,Outros Peixes e Mariscos,8,98.4
2021,1,1,1147,Choquinhos,Outros Peixes e Mariscos,2,28.4
2021,1,1,1148,Peixe-Espada em Azeite Virgem Extra,Outros Peixes e Mariscos,4,54.8
2021,1,1,1149,Salmao Fumado em Azeite,Outros Peixes e Mariscos,24,355.2
2021,1,1,1150,Dourada em Azeite Virgem Extra,Outros Peixes e Mariscos,8,121.6
2021,1,1,1151,Robalo em Azeite Virgem Extra,Outros Peixes e Mariscos,36,550.8
2021,1,1,1152,Polvo em Azeite Virgem Extra,Outros Peixes e Mariscos,82,1295.6
2021,1,1,1153,Camarao a Scampi (Gambas),Outros Peixes e Mariscos,23,414.0
2021,1,1,1154,Corvina em Azeite Virgem Extra,Outros Peixes e Mariscos,6,108.0
